DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/7/2014 18:21,100,100,105,0,0
1/7/2014 18:21,100,100,106,0,0
1/7/2014 18:21,100,101,100,0,0
1/7/2014 18:21,100,101,101,0,0
1/7/2014 18:21,100,101,102,0,0
1/7/2014 18:21,100,101,103,0,0
1/7/2014 18:21,100,101,104,0,0
1/7/2014 18:21,100,101,105,0,0
1/7/2014 18:21,100,101,106,1,0
1/7/2014 18:21,101,102,100,0,0
1/7/2014 18:21,101,102,101,0,0
1/7/2014 18:21,101,102,102,1,0
1/7/2014 18:21,101,102,103,0,0
1/7/2014 18:21,101,102,104,0,0
1/7/2014 18:21,101,102,105,0,0
1/7/2014 18:21,101,102,106,0,0
1/7/2014 18:21,102,103,100,0,0
1/7/2014 18:21,102,103,101,1,0
1/7/2014 18:21,102,103,102,0,0
1/7/2014 18:21,102,103,103,0,0
1/7/2014 18:21,102,103,104,0,0
1/7/2014 18:21,102,103,105,0,0
1/7/2014 18:21,102,103,106,0,0
1/7/2014 18:21,102,104,100,0,0
1/7/2014 18:21,102,104,101,0,0
1/7/2014 18:21,102,104,102,0,0
1/7/2014 18:21,102,104,103,1,0
1/7/2014 18:21,102,104,104,0,0
1/7/2014 18:21,102,104,105,0,0
1/7/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/8/2014 18:21,100,100,100,0,0
1/8/2014 18:21,100,100,101,0,0
1/8/2014 18:21,100,100,102,1,0
1/8/2014 18:21,100,100,103,0,0
1/8/2014 18:21,100,100,104,0,0
1/8/2014 18:21,100,100,105,0,0
1/8/2014 18:21,100,100,106,0,0
1/8/2014 18:21,100,101,100,0,0
1/8/2014 18:21,100,101,101,0,0
1/8/2014 18:21,100,101,102,0,0
1/8/2014 18:21,100,101,103,0,0
1/8/2014 18:21,100,101,104,0,0
1/8/2014 18:21,100,101,105,0,0
1/8/2014 18:21,100,101,106,0,0
1/8/2014 18:21,101,102,100,0,0
1/8/2014 18:21,101,102,101,0,0
1/8/2014 18:21,101,102,102,0,0
1/8/2014 18:21,101,102,103,0,0
1/8/2014 18:21,101,102,104,0,0
1/8/2014 18:21,101,102,105,0,0
1/8/2014 18:21,101,102,106,0,0
1/8/2014 18:21,102,103,100,0,0
1/8/2014 18:21,102,103,101,0,0
1/8/2014 18:21,102,103,102,0,0
1/8/2014 18:21,102,103,103,0,0
1/8/2014 18:21,102,103,104,0,0
1/8/2014 18:21,102,103,105,0,0
1/8/2014 18:21,102,103,106,0,0
1/8/2014 18:21,102,104,100,0,0
1/8/2014 18:21,102,104,101,0,0
1/8/2014 18:21,102,104,102,0,0
1/8/2014 18:21,102,104,103,0,0
1/8/2014 18:21,102,104,104,0,0
1/8/2014 18:21,102,104,105,0,0
1/8/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/9/2014 18:21,100,100,100,1,0
1/9/2014 18:21,100,100,101,1,0
1/9/2014 18:21,100,100,102,1,0
1/9/2014 18:21,100,100,103,1,0
1/9/2014 18:21,100,100,104,1,0
1/9/2014 18:21,100,100,105,1,0
1/9/2014 18:21,100,100,106,1,0
1/9/2014 18:21,100,101,100,0,0
1/9/2014 18:21,100,101,101,0,0
1/9/2014 18:21,100,101,102,1,0
1/9/2014 18:21,100,101,103,0,0
1/9/2014 18:21,100,101,104,0,0
1/9/2014 18:21,100,101,105,0,0
1/9/2014 18:21,100,101,106,0,0
1/9/2014 18:21,101,102,100,1,0
1/9/2014 18:21,101,102,101,1,0
1/9/2014 18:21,101,102,102,1,0
1/9/2014 18:21,101,102,103,1,0
1/9/2014 18:21,101,102,104,1,0
1/9/2014 18:21,101,102,105,1,0
1/9/2014 18:21,101,102,106,1,0
1/9/2014 18:21,102,103,100,1,0
1/9/2014 18:21,102,103,101,1,0
1/9/2014 18:21,102,103,102,1,0
1/9/2014 18:21,102,103,103,1,0
1/9/2014 18:21,102,103,104,1,0
1/9/2014 18:21,102,103,105,1,0
1/9/2014 18:21,102,103,106,1,0
1/9/2014 18:21,102,104,100,0,0
1/9/2014 18:21,102,104,101,0,0
1/9/2014 18:21,102,104,102,1,0
1/9/2014 18:21,102,104,103,0,0
1/9/2014 18:21,102,104,104,0,0
1/9/2014 18:21,102,104,105,0,0
1/9/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/10/2014 18:21,100,100,100,0,0
1/10/2014 18:21,100,100,101,0,0
1/10/2014 18:21,100,100,102,0,0
1/10/2014 18:21,100,100,103,1,0
1/10/2014 18:21,100,100,104,1,0
1/10/2014 18:21,100,100,105,1,0
1/10/2014 18:21,100,100,106,1,0
1/10/2014 18:21,100,101,100,0,0
1/10/2014 18:21,100,101,101,1,0
1/10/2014 18:21,100,101,102,0,0
1/10/2014 18:21,100,101,103,1,0
1/10/2014 18:21,100,101,104,0,0
1/10/2014 18:21,100,101,105,1,0
1/10/2014 18:21,100,101,106,0,0
1/10/2014 18:21,101,102,100,0,0
1/10/2014 18:21,101,102,101,1,0
1/10/2014 18:21,101,102,102,0,0
1/10/2014 18:21,101,102,103,0,0
1/10/2014 18:21,101,102,104,1,0
1/10/2014 18:21,101,102,105,1,0
1/10/2014 18:21,101,102,106,1,0
1/10/2014 18:21,102,103,100,0,0
1/10/2014 18:21,102,103,101,1,0
1/10/2014 18:21,102,103,102,0,0
1/10/2014 18:21,102,103,103,1,0
1/10/2014 18:21,102,103,104,1,0
1/10/2014 18:21,102,103,105,0,0
1/10/2014 18:21,102,103,106,1,0
1/10/2014 18:21,102,104,100,0,0
1/10/2014 18:21,102,104,101,1,0
1/10/2014 18:21,102,104,102,0,0
1/10/2014 18:21,102,104,103,1,0
1/10/2014 18:21,102,104,104,0,0
1/10/2014 18:21,102,104,105,1,0
1/10/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/11/2014 18:21,100,100,100,1,0
1/11/2014 18:21,100,100,101,0,0
1/11/2014 18:21,100,100,102,1,0
1/11/2014 18:21,100,100,103,0,0
1/11/2014 18:21,100,100,104,1,0
1/11/2014 18:21,100,100,105,0,0
1/11/2014 18:21,100,100,106,0,0
1/11/2014 18:21,100,101,100,0,0
1/11/2014 18:21,100,101,101,1,0
1/11/2014 18:21,100,101,102,0,0
1/11/2014 18:21,100,101,103,0,0
1/11/2014 18:21,100,101,104,1,0
1/11/2014 18:21,100,101,105,0,0
1/11/2014 18:21,100,101,106,1,0
1/11/2014 18:21,101,102,100,1,0
1/11/2014 18:21,101,102,101,1,0
1/11/2014 18:21,101,102,102,1,0
1/11/2014 18:21,101,102,103,0,0
1/11/2014 18:21,101,102,104,0,0
1/11/2014 18:21,101,102,105,0,0
1/11/2014 18:21,101,102,106,1,0
1/11/2014 18:21,102,103,100,1,0
1/11/2014 18:21,102,103,101,0,0
1/11/2014 18:21,102,103,102,1,0
1/11/2014 18:21,102,103,103,0,0
1/11/2014 18:21,102,103,104,1,0
1/11/2014 18:21,102,103,105,0,0
1/11/2014 18:21,102,103,106,1,0
1/11/2014 18:21,102,104,100,0,0
1/11/2014 18:21,102,104,101,1,0
1/11/2014 18:21,102,104,102,0,0
1/11/2014 18:21,102,104,103,0,0
1/11/2014 18:21,102,104,104,1,0
1/11/2014 18:21,102,104,105,0,0
1/11/2014 18:21,102,104,106,1,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/12/2014 18:21,100,100,100,1,0
1/12/2014 18:21,100,100,101,0,0
1/12/2014 18:21,100,100,102,0,0
1/12/2014 18:21,100,100,103,1,0
1/12/2014 18:21,100,100,104,0,0
1/12/2014 18:21,100,100,105,1,0
1/12/2014 18:21,100,100,106,0,0
1/12/2014 18:21,100,101,100,0,0
1/12/2014 18:21,100,101,101,0,0
1/12/2014 18:21,100,101,102,0,0
1/12/2014 18:21,100,101,103,0,0
1/12/2014 18:21,100,101,104,1,0
1/12/2014 18:21,100,101,105,0,0
1/12/2014 18:21,100,101,106,1,0
1/12/2014 18:21,101,102,100,1,0
1/12/2014 18:21,101,102,101,0,0
1/12/2014 18:21,101,102,102,0,0
1/12/2014 18:21,101,102,103,0,0
1/12/2014 18:21,101,102,104,0,0
1/12/2014 18:21,101,102,105,1,0
1/12/2014 18:21,101,102,106,0,0
1/12/2014 18:21,102,103,100,0,0
1/12/2014 18:21,102,103,101,0,0
1/12/2014 18:21,102,103,102,0,0
1/12/2014 18:21,102,103,103,1,0
1/12/2014 18:21,102,103,104,1,0
1/12/2014 18:21,102,103,105,0,0
1/12/2014 18:21,102,103,106,1,0
1/12/2014 18:21,102,104,100,1,0
1/12/2014 18:21,102,104,101,0,0
1/12/2014 18:21,102,104,102,0,0
1/12/2014 18:21,102,104,103,0,0
1/12/2014 18:21,102,104,104,1,0
1/12/2014 18:21,102,104,105,0,0
1/12/2014 18:21,102,104,106,1,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/13/2014 18:21,100,100,100,0,0
1/13/2014 18:21,100,100,101,0,0
1/13/2014 18:21,100,100,102,1,0
1/13/2014 18:21,100,100,103,1,0
1/13/2014 18:21,100,100,104,0,0
1/13/2014 18:21,100,100,105,0,0
1/13/2014 18:21,100,100,106,0,0
1/13/2014 18:21,100,101,100,0,0
1/13/2014 18:21,100,101,101,0,0
1/13/2014 18:21,100,101,102,0,0
1/13/2014 18:21,100,101,103,1,0
1/13/2014 18:21,100,101,104,0,0
1/13/2014 18:21,100,101,105,0,0
1/13/2014 18:21,100,101,106,0,0
1/13/2014 18:21,101,102,100,0,0
1/13/2014 18:21,101,102,101,0,0
1/13/2014 18:21,101,102,102,1,0
1/13/2014 18:21,101,102,103,0,0
1/13/2014 18:21,101,102,104,0,0
1/13/2014 18:21,101,102,105,1,0
1/13/2014 18:21,101,102,106,0,0
1/13/2014 18:21,102,103,100,0,0
1/13/2014 18:21,102,103,101,0,0
1/13/2014 18:21,102,103,102,1,0
1/13/2014 18:21,102,103,103,0,0
1/13/2014 18:21,102,103,104,1,0
1/13/2014 18:21,102,103,105,0,0
1/13/2014 18:21,102,103,106,0,0
1/13/2014 18:21,102,104,100,0,0
1/13/2014 18:21,102,104,101,1,0
1/13/2014 18:21,102,104,102,0,0
1/13/2014 18:21,102,104,103,0,0
1/13/2014 18:21,102,104,104,0,0
1/13/2014 18:21,102,104,105,1,0
1/13/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/14/2014 18:21,100,100,100,1,0
1/14/2014 18:21,100,100,101,0,0
1/14/2014 18:21,100,100,102,0,0
1/14/2014 18:21,100,100,103,0,0
1/14/2014 18:21,100,100,104,0,0
1/14/2014 18:21,100,100,105,0,0
1/14/2014 18:21,100,100,106,0,0
1/14/2014 18:21,100,101,100,0,0
1/14/2014 18:21,100,101,101,0,0
1/14/2014 18:21,100,101,102,1,0
1/14/2014 18:21,100,101,103,0,0
1/14/2014 18:21,100,101,104,1,0
1/14/2014 18:21,100,101,105,0,0
1/14/2014 18:21,100,101,106,0,0
1/14/2014 18:21,101,102,100,1,0
1/14/2014 18:21,101,102,101,0,0
1/14/2014 18:21,101,102,102,1,0
1/14/2014 18:21,101,102,103,0,0
1/14/2014 18:21,101,102,104,0,0
1/14/2014 18:21,101,102,105,0,0
1/14/2014 18:21,101,102,106,0,0
1/14/2014 18:21,102,103,100,0,0
1/14/2014 18:21,102,103,101,0,0
1/14/2014 18:21,102,103,102,1,0
1/14/2014 18:21,102,103,103,0,0
1/14/2014 18:21,102,103,104,0,0
1/14/2014 18:21,102,103,105,0,0
1/14/2014 18:21,102,103,106,1,0
1/14/2014 18:21,102,104,100,0,0
1/14/2014 18:21,102,104,101,0,0
1/14/2014 18:21,102,104,102,0,0
1/14/2014 18:21,102,104,103,0,0
1/14/2014 18:21,102,104,104,1,0
1/14/2014 18:21,102,104,105,1,0
1/14/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/15/2014 18:21,100,100,100,0,0
1/15/2014 18:21,100,100,101,0,0
1/15/2014 18:21,100,100,102,0,0
1/15/2014 18:21,100,100,103,1,0
1/15/2014 18:21,100,100,104,0,0
1/15/2014 18:21,100,100,105,0,0
1/15/2014 18:21,100,100,106,0,0
1/15/2014 18:21,100,101,100,0,0
1/15/2014 18:21,100,101,101,0,0
1/15/2014 18:21,100,101,102,1,0
1/15/2014 18:21,100,101,103,0,0
1/15/2014 18:21,100,101,104,0,0
1/15/2014 18:21,100,101,105,0,0
1/15/2014 18:21,100,101,106,0,0
1/15/2014 18:21,101,102,100,1,0
1/15/2014 18:21,101,102,101,0,0
1/15/2014 18:21,101,102,102,0,0
1/15/2014 18:21,101,102,103,0,0
1/15/2014 18:21,101,102,104,0,0
1/15/2014 18:21,101,102,105,0,0
1/15/2014 18:21,101,102,106,0,0
1/15/2014 18:21,102,103,100,0,0
1/15/2014 18:21,102,103,101,0,0
1/15/2014 18:21,102,103,102,1,0
1/15/2014 18:21,102,103,103,0,0
1/15/2014 18:21,102,103,104,0,0
1/15/2014 18:21,102,103,105,0,0
1/15/2014 18:21,102,103,106,0,0
1/15/2014 18:21,102,104,100,0,0
1/15/2014 18:21,102,104,101,0,0
1/15/2014 18:21,102,104,102,0,0
1/15/2014 18:21,102,104,103,0,0
1/15/2014 18:21,102,104,104,0,0
1/15/2014 18:21,102,104,105,0,0
1/15/2014 18:21,102,104,106,1,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/16/2014 18:21,100,100,100,0,0
1/16/2014 18:21,100,100,101,0,0
1/16/2014 18:21,100,100,102,0,0
1/16/2014 18:21,100,100,103,0,0
1/16/2014 18:21,100,100,104,0,0
1/16/2014 18:21,100,100,105,0,0
1/16/2014 18:21,100,100,106,0,0
1/16/2014 18:21,100,101,100,0,0
1/16/2014 18:21,100,101,101,0,0
1/16/2014 18:21,100,101,102,1,0
1/16/2014 18:21,100,101,103,0,0
1/16/2014 18:21,100,101,104,0,0
1/16/2014 18:21,100,101,105,0,0
1/16/2014 18:21,100,101,106,0,0
1/16/2014 18:21,101,102,100,0,0
1/16/2014 18:21,101,102,101,0,0
1/16/2014 18:21,101,102,102,0,0
1/16/2014 18:21,101,102,103,0,0
1/16/2014 18:21,101,102,104,0,0
1/16/2014 18:21,101,102,105,0,0
1/16/2014 18:21,101,102,106,0,0
1/16/2014 18:21,102,103,100,0,0
1/16/2014 18:21,102,103,101,0,0
1/16/2014 18:21,102,103,102,0,0
1/16/2014 18:21,102,103,103,0,0
1/16/2014 18:21,102,103,104,0,0
1/16/2014 18:21,102,103,105,0,0
1/16/2014 18:21,102,103,106,0,0
1/16/2014 18:21,102,104,100,0,0
1/16/2014 18:21,102,104,101,0,0
1/16/2014 18:21,102,104,102,0,0
1/16/2014 18:21,102,104,103,0,0
1/16/2014 18:21,102,104,104,0,0
1/16/2014 18:21,102,104,105,0,0
1/16/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/17/2014 18:21,100,100,100,1,0
1/17/2014 18:21,100,100,101,1,0
1/17/2014 18:21,100,100,102,0,0
1/17/2014 18:21,100,100,103,1,0
1/17/2014 18:21,100,100,104,1,0
1/17/2014 18:21,100,100,105,1,0
1/17/2014 18:21,100,100,106,1,0
1/17/2014 18:21,100,101,100,0,0
1/17/2014 18:21,100,101,101,0,0
1/17/2014 18:21,100,101,102,0,0
1/17/2014 18:21,100,101,103,0,0
1/17/2014 18:21,100,101,104,0,0
1/17/2014 18:21,100,101,105,0,0
1/17/2014 18:21,100,101,106,0,0
1/17/2014 18:21,101,102,100,1,0
1/17/2014 18:21,101,102,101,1,0
1/17/2014 18:21,101,102,102,0,0
1/17/2014 18:21,101,102,103,1,0
1/17/2014 18:21,101,102,104,1,0
1/17/2014 18:21,101,102,105,1,0
1/17/2014 18:21,101,102,106,1,0
1/17/2014 18:21,102,103,100,1,0
1/17/2014 18:21,102,103,101,1,0
1/17/2014 18:21,102,103,102,0,0
1/17/2014 18:21,102,103,103,1,0
1/17/2014 18:21,102,103,104,1,0
1/17/2014 18:21,102,103,105,1,0
1/17/2014 18:21,102,103,106,1,0
1/17/2014 18:21,102,104,100,0,0
1/17/2014 18:21,102,104,101,0,0
1/17/2014 18:21,102,104,102,0,0
1/17/2014 18:21,102,104,103,0,0
1/17/2014 18:21,102,104,104,0,0
1/17/2014 18:21,102,104,105,0,0
1/17/2014 18:21,102,104,106,0,0
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,GS_GAURD_ID,AV_INDEX,PR_INDEX
1/18/2014 18:21,100,100,100,0,0
1/18/2014 18:21,100,100,101,1,0
1/18/2014 18:21,100,100,102,1,0
1/18/2014 18:21,100,100,103,1,0
1/18/2014 18:21,100,100,104,1,0
1/18/2014 18:21,100,100,105,1,0
1/18/2014 18:21,100,100,106,1,0
1/18/2014 18:21,100,101,100,1,0
1/18/2014 18:21,100,101,101,1,0
1/18/2014 18:21,100,101,102,0,0
1/18/2014 18:21,100,101,103,1,0
1/18/2014 18:21,100,101,104,0,0
1/18/2014 18:21,100,101,105,0,0
1/18/2014 18:21,100,101,106,0,0
1/18/2014 18:21,101,102,100,1,0
1/18/2014 18:21,101,102,101,0,0
1/18/2014 18:21,101,102,102,1,0
1/18/2014 18:21,101,102,103,1,0
1/18/2014 18:21,101,102,104,1,0
1/18/2014 18:21,101,102,105,1,0
1/18/2014 18:21,101,102,106,1,0
